User,Client,"Client Type",Date,Duration,"Type Of Call","External Call Score"
"Jonathan Davies","Karen Richardson",Carer,"2020-07-01 12:08:32",841,Incoming,36
"Jonathan Davies","Kelly Harris",Carer,"2020-07-16 03:16:21",449,Outgoing,34
"Jonathan Davies","Lindsay Davies",Nurse,"2020-08-14 12:27:47",301,Outgoing,78
"Jonathan Davies","Claire Cook",Nurse,"2020-08-19 04:24:06",859,Incoming,6
"Jonathan Davies","Danielle Price",Carer,"2020-07-20 09:57:04",484,Outgoing,71
"Jonathan Davies","Elizabeth King",Nurse,"2020-06-25 05:41:29",858,Incoming,24
"Jonathan Davies","Yvonne Edwards",Nurse,"2020-08-12 08:12:10",939,Outgoing,78
"Jonathan Davies","Henry Jackson",Nurse,"2020-08-01 03:25:01",556,Incoming,11
"Jonathan Davies","Tim Brown",Carer,"2020-07-03 08:53:29",230,Outgoing,7
"Jonathan Davies","Eileen Murphy",Carer,"2020-07-01 04:43:30",808,Outgoing,90
"Jonathan Davies","Shannon Ward",Carer,"2020-07-02 10:35:19",733,Incoming,77
"Jonathan Davies","Kelly Harris",Carer,"2020-07-17 09:08:05",565,Outgoing,55
"Jonathan Davies","Carole Kelly",Carer,"2020-08-05 08:00:24",418,Outgoing,38
"Jonathan Davies","Joel Simpson",Nurse,"2020-07-10 06:02:11",656,Outgoing,62
"Jonathan Davies","Keeley Cooper",Carer,"2020-08-22 09:58:47",679,Incoming,67
"Jonathan Davies","Isaac Bennett",Carer,"2020-06-24 10:00:48",489,Incoming,45
"Jonathan Davies","Carmen Graham",Nurse,"2020-07-10 05:21:11",313,Incoming,83
"Jonathan Davies","Paul Bell",Nurse,"2020-08-15 10:11:43",813,Incoming,81
"Jonathan Davies","Keeley Cooper",Carer,"2020-07-01 09:11:31",837,Incoming,99
"Jonathan Davies","Hannah Kelly",Nurse,"2020-07-27 03:21:40",984,Outgoing,38
"Jonathan Davies","Sarah Lewis",Carer,"2020-08-16 11:38:16",508,Incoming,68
"Jonathan Davies","Dylan Green",Nurse,"2020-06-27 09:21:00",569,Outgoing,93
"Jonathan Davies","Faye King",Carer,"2020-08-17 06:44:15",750,Outgoing,84
"Jonathan Davies","Kevin Allen",Nurse,"2020-07-02 06:34:45",234,Incoming,83
"Jonathan Davies","Tina Robertson",Nurse,"2020-06-28 04:29:35",807,Outgoing,4
"Jonathan Davies","Lucas Harris",Carer,"2020-07-25 08:20:16",117,Outgoing,50
"Jonathan Davies","Tanya Hill",Carer,"2020-07-09 06:14:26",846,Incoming,10
"Jonathan Davies","Holly Lee",Nurse,"2020-07-03 04:48:27",677,Outgoing,13
"Jonathan Davies","Joel Simpson",Nurse,"2020-07-19 10:18:21",113,Incoming,3
"Jonathan Davies","Eileen Murphy",Carer,"2020-07-25 06:01:24",178,Incoming,20
"Jonathan Davies","Kevin Allen",Nurse,"2020-07-21 10:37:08",874,Outgoing,68
"Jonathan Davies","Leah Price",Carer,"2020-08-11 06:38:20",370,Incoming,59
"Jonathan Davies","Andrew Walker",Carer,"2020-07-31 05:05:21",892,Outgoing,1
"Jonathan Davies","Mia Saunders",Nurse,"2020-08-04 05:43:21",466,Incoming,57
"Jonathan Davies","Callum Richards",Carer,"2020-08-05 07:54:39",321,Incoming,84
"Jonathan Davies","Keeley Cooper",Carer,"2020-08-09 11:29:18",398,Incoming,34
"Jonathan Davies","Paul Bell",Nurse,"2020-07-29 04:59:26",813,Incoming,93
"Jonathan Davies","Steve Rose",Nurse,"2020-08-04 09:24:02",922,Incoming,30
"Jonathan Davies","Yvonne Edwards",Nurse,"2020-07-16 03:20:48",195,Outgoing,10
"Jonathan Davies","Quentin Richards",Carer,"2020-07-20 03:10:27",869,Outgoing,22
"Jonathan Davies","Holly Lee",Nurse,"2020-08-21 05:32:58",898,Outgoing,33
"Jonathan Davies","Andy Bailey",Carer,"2020-06-25 06:26:42",457,Incoming,29
"Jonathan Davies","Laura Richardson",Nurse,"2020-08-22 03:17:21",230,Outgoing,89
"Jonathan Davies","Tim Brown",Carer,"2020-06-26 03:31:12",233,Incoming,52
"Jonathan Davies","Yvonne Knight",Nurse,"2020-07-12 12:05:46",899,Outgoing,99
"Jonathan Davies","Finley Owen",Carer,"2020-06-27 10:38:27",217,Outgoing,14
"Jonathan Davies","Nicole Allen",Carer,"2020-08-03 02:39:38",307,Outgoing,95
"Jonathan Davies","Tanya Hill",Carer,"2020-07-03 04:25:56",968,Incoming,42
"Jonathan Davies","Stephen Wood",Nurse,"2020-08-02 03:25:23",918,Incoming,27
"Jonathan Davies","Sarah Lewis",Carer,"2020-08-04 09:34:37",157,Outgoing,72
"Jonathan Davies","Harry Mason",Nurse,"2020-07-22 11:45:44",684,Incoming,34
"Jonathan Davies","Hannah Kelly",Nurse,"2020-07-04 04:41:05",482,Incoming,14
"Jonathan Davies","John Hall",Carer,"2020-08-17 06:22:59",341,Incoming,99
"Jonathan Davies","Finley Owen",Carer,"2020-07-30 07:42:21",143,Outgoing,92
"Jonathan Davies","Julia Mitchell",Carer,"2020-06-30 06:57:54",509,Incoming,43
"Jonathan Davies","Carmen Hughes",Nurse,"2020-07-15 11:40:09",537,Outgoing,8
"Jonathan Davies","Karen Chapman",Nurse,"2020-07-18 02:49:59",645,Incoming,78
"Jonathan Davies","Shannon Ward",Carer,"2020-07-15 12:16:05",505,Incoming,39
"Jonathan Davies","Claire Cook",Nurse,"2020-06-30 02:33:20",531,Outgoing,73
"Jonathan Davies","Helena Knight",Carer,"2020-08-18 08:03:47",276,Outgoing,78
"Jonathan Davies","Ryan Murphy",Carer,"2020-08-05 07:25:18",175,Outgoing,29
"Jonathan Davies","Dave Clark",Nurse,"2020-07-23 09:42:34",112,Outgoing,89
"Jonathan Davies","Isaac Bennett",Carer,"2020-07-22 07:29:33",945,Incoming,87
"Jonathan Davies","Layla Anderson",Carer,"2020-08-14 03:00:45",329,Outgoing,77
"Jonathan Davies","Carlie Reid",Carer,"2020-08-11 11:17:11",387,Incoming,44
"Jonathan Davies","Dave Clark",Nurse,"2020-08-17 03:54:20",226,Outgoing,12
"Jonathan Davies","Shannon Ward",Carer,"2020-07-30 05:25:32",218,Outgoing,67
"Jonathan Davies","Carlie Martin",Nurse,"2020-08-02 04:39:39",679,Outgoing,95
"Jonathan Davies","Shannon Ward",Carer,"2020-06-26 01:25:35",305,Outgoing,26
"Jonathan Davies","Finley Butler",Nurse,"2020-07-06 10:32:07",707,Incoming,2
"Jonathan Davies","Beth Reid",Carer,"2020-08-05 09:01:44",144,Outgoing,60
"Jonathan Davies","Amelia Lee",Nurse,"2020-07-12 02:12:54",435,Incoming,0
"Jonathan Davies","Lucas Harris",Carer,"2020-07-10 09:25:42",318,Outgoing,15
"Jonathan Davies","Layla Anderson",Carer,"2020-07-05 11:16:27",139,Outgoing,84
"Jonathan Davies","Eleanor Knight",Carer,"2020-08-10 10:24:31",939,Incoming,46
"Jonathan Davies","Jonathan Richards",Nurse,"2020-07-29 06:38:13",356,Outgoing,52
"Jonathan Davies","Holly Lee",Nurse,"2020-07-28 01:26:24",732,Outgoing,14
"Jonathan Davies","Zach Hunt",Carer,"2020-07-12 10:07:03",538,Incoming,53
"Jonathan Davies","Dylan Green",Nurse,"2020-07-18 11:09:29",302,Incoming,48
"Jonathan Davies","Karen Chapman",Nurse,"2020-08-23 04:46:21",286,Outgoing,19
"Jonathan Davies","Tanya Hill",Carer,"2020-07-18 01:21:14",983,Incoming,95
"Jonathan Davies","Hannah Kelly",Nurse,"2020-07-01 12:57:13",917,Outgoing,30
"Jonathan Davies","Leah Price",Carer,"2020-07-18 04:04:01",457,Outgoing,59
"Jonathan Davies","Lindsay Shaw",Nurse,"2020-08-05 12:36:08",410,Outgoing,96
"Jonathan Davies","Melissa Moore",Nurse,"2020-08-06 12:30:27",814,Outgoing,86
"Jonathan Davies","Faye King",Carer,"2020-08-11 08:40:17",981,Incoming,60
"Jonathan Davies","Quentin Richards",Carer,"2020-07-02 08:14:55",681,Outgoing,19
"Jonathan Davies","Henry Jackson",Nurse,"2020-07-12 02:06:00",261,Outgoing,74
"Jonathan Davies","Samantha James",Carer,"2020-08-21 06:49:50",484,Outgoing,52
"Jonathan Davies","Carlie Reid",Carer,"2020-07-23 04:46:16",225,Outgoing,98
"Jonathan Davies","Nicole Allen",Carer,"2020-07-31 08:16:21",558,Outgoing,63
"Jonathan Davies","Andrew Walker",Carer,"2020-07-19 03:39:46",934,Incoming,57
"Jonathan Davies","Andy Bailey",Carer,"2020-07-16 02:04:10",805,Incoming,39
"Jonathan Davies","Joel Simpson",Nurse,"2020-06-28 02:25:08",642,Incoming,50
"Jonathan Davies","Quentin Richards",Carer,"2020-08-03 06:58:34",637,Incoming,24
"Jonathan Davies","Carlie Reid",Carer,"2020-07-29 02:49:54",833,Outgoing,99
"Jonathan Davies","Julia Mitchell",Carer,"2020-07-26 08:55:41",617,Incoming,96
"Jonathan Davies","Paul Bell",Nurse,"2020-08-20 11:09:24",397,Outgoing,58
"Jonathan Davies","Carmen Graham",Nurse,"2020-07-17 04:46:29",219,Outgoing,19
"Jonathan Davies","Karen Chapman",Nurse,"2020-07-27 10:00:57",977,Outgoing,33
"Jonathan Davies","Jayden Anderson",Carer,"2020-08-22 06:38:09",666,Incoming,43
"Jonathan Davies","Harry Mason",Nurse,"2020-08-18 05:51:53",764,Outgoing,57
"Jonathan Davies","Zach Hunt",Carer,"2020-08-14 03:33:48",277,Incoming,59
"Jonathan Davies","Paul Fox",Nurse,"2020-08-08 03:25:55",576,Incoming,17
"Jonathan Davies","Jonathan Richards",Nurse,"2020-07-19 10:47:44",151,Outgoing,8
"Jonathan Davies","Patricia Shaw",Carer,"2020-08-09 09:54:27",219,Outgoing,34
"Jonathan Davies","Andrew Walker",Carer,"2020-07-26 06:37:57",817,Incoming,99
"Jonathan Davies","Eleanor Knight",Carer,"2020-08-19 02:14:32",551,Outgoing,43
"Jonathan Davies","Dylan Green",Nurse,"2020-06-26 10:16:00",508,Incoming,78
"Jonathan Davies","Carlie Martin",Nurse,"2020-08-11 08:24:40",323,Outgoing,63
"Jonathan Davies","Colin Hunter",Carer,"2020-08-18 11:13:03",696,Incoming,25
"Jonathan Davies","Wendy King",Carer,"2020-07-06 12:05:22",327,Incoming,64
"Jonathan Davies","Melissa Moore",Nurse,"2020-08-19 08:45:27",501,Outgoing,55
"Jonathan Davies","Sarah Lewis",Carer,"2020-07-31 12:01:45",351,Incoming,97
"Jonathan Davies","Claire Cook",Nurse,"2020-08-16 11:36:25",294,Outgoing,84
"Jonathan Davies","Laura Richardson",Nurse,"2020-08-10 02:34:16",245,Incoming,2
"Jonathan Davies","Paul Fox",Nurse,"2020-07-27 07:06:55",572,Outgoing,63
"Jonathan Davies","Paula Price",Carer,"2020-08-13 10:44:27",173,Outgoing,21
"Jonathan Davies","Paul Bell",Nurse,"2020-08-19 10:53:48",891,Outgoing,63
"Jonathan Davies","Wendy King",Carer,"2020-07-22 07:27:05",136,Outgoing,95
"Jonathan Davies","Samantha James",Carer,"2020-07-11 04:08:19",648,Outgoing,12
"Jonathan Davies","Henry Robinson",Carer,"2020-07-03 05:37:31",887,Incoming,65
"Jonathan Davies","Tim Brown",Carer,"2020-07-30 05:38:36",453,Outgoing,64
"Jonathan Davies","Carlie Martin",Nurse,"2020-07-24 07:40:12",620,Outgoing,30
"Jonathan Davies","Eileen Murphy",Carer,"2020-07-20 08:47:31",186,Outgoing,32
"Jonathan Davies","Elizabeth King",Nurse,"2020-07-16 11:40:55",631,Outgoing,48
"Jonathan Davies","Ashley Carter",Nurse,"2020-07-19 05:55:41",733,Incoming,88
"Jonathan Davies","Lily Anderson",Carer,"2020-07-15 11:01:23",936,Outgoing,1
"Jonathan Davies","Nicole Allen",Carer,"2020-07-03 09:28:19",696,Incoming,90
"Jonathan Davies","Eileen Murphy",Carer,"2020-08-16 09:29:29",302,Outgoing,55
"Jonathan Davies","Holly Lee",Nurse,"2020-07-09 07:11:04",878,Incoming,81
"Jonathan Davies","Ian Taylor",Nurse,"2020-08-05 11:21:32",637,Outgoing,69
"Jonathan Davies","Finley Butler",Nurse,"2020-08-18 04:44:17",818,Outgoing,90
"Jonathan Davies","Emily Moore",Nurse,"2020-07-23 02:25:06",896,Outgoing,76
"Jonathan Davies","Isaac Bennett",Carer,"2020-08-23 02:03:45",766,Outgoing,14
"Jonathan Davies","Layla Anderson",Carer,"2020-08-19 09:25:15",577,Outgoing,22
"Jonathan Davies","Faye King",Carer,"2020-08-14 10:02:54",265,Outgoing,18
"Jonathan Davies","Ashley Carter",Nurse,"2020-06-27 08:21:52",112,Outgoing,43
"Jonathan Davies","Wendy King",Carer,"2020-07-18 11:33:45",525,Outgoing,11
"Jonathan Davies","Joel Simpson",Nurse,"2020-06-25 02:39:53",956,Outgoing,69
"Jonathan Davies","John Hall",Carer,"2020-08-12 05:47:45",282,Incoming,52
"Jonathan Davies","Wendy King",Carer,"2020-07-21 01:33:45",937,Outgoing,53
"Jonathan Davies","Lindsay Shaw",Nurse,"2020-07-21 06:23:27",996,Outgoing,44
"Jonathan Davies","Finley Butler",Nurse,"2020-08-01 05:54:41",728,Outgoing,29
"Jonathan Davies","Grant Morgan",Carer,"2020-08-23 01:43:28",688,Outgoing,13
"Jonathan Davies","Claire Cook",Nurse,"2020-08-02 02:14:45",152,Outgoing,45
"Jonathan Davies","Samantha James",Carer,"2020-06-26 02:14:37",307,Incoming,73
"Jonathan Davies","Carmen Graham",Nurse,"2020-07-04 11:14:38",289,Incoming,79
"Jonathan Davies","Grant Morgan",Carer,"2020-06-25 01:12:26",960,Incoming,19
"Jonathan Davies","Dave Clark",Nurse,"2020-07-20 06:42:27",816,Outgoing,71
"Jonathan Davies","Emily Moore",Nurse,"2020-07-23 08:50:40",541,Incoming,21
"Jonathan Davies","Ella Taylor",Nurse,"2020-08-20 02:22:21",551,Incoming,35
"Jonathan Davies","Danielle Price",Carer,"2020-07-21 02:10:53",223,Incoming,13
"Jonathan Davies","Laura Richardson",Nurse,"2020-07-01 08:14:07",990,Incoming,19
"Jonathan Davies","Summer Marshall",Carer,"2020-07-21 05:45:04",941,Outgoing,64
"Jonathan Davies","Stephen Hughes",Carer,"2020-06-25 09:06:10",464,Incoming,29
"Jonathan Davies","Tim Brown",Carer,"2020-08-21 08:51:12",999,Incoming,66
"Jonathan Davies","Callum Richards",Carer,"2020-08-09 01:53:40",965,Incoming,98
"Jonathan Davies","Nicole Allen",Carer,"2020-07-04 03:36:44",235,Incoming,65
"Jonathan Davies","John Hall",Carer,"2020-08-16 01:49:44",607,Outgoing,78
"Jonathan Davies","Dominic Walker",Carer,"2020-08-19 02:43:17",265,Outgoing,4
"Jonathan Davies","Helena Knight",Carer,"2020-06-26 08:53:05",261,Outgoing,2
"Jonathan Davies","Callum Richards",Carer,"2020-07-08 08:44:31",799,Outgoing,18
"Jonathan Davies","Isobel Powell",Carer,"2020-06-30 12:56:07",854,Outgoing,15
"Jonathan Davies","Emma Wilkinson",Carer,"2020-07-07 10:05:35",697,Incoming,64
"Jonathan Davies","Rebecca Wood",Carer,"2020-06-29 06:14:59",695,Outgoing,35
"Jonathan Davies","Henry Jackson",Nurse,"2020-07-03 11:32:42",982,Outgoing,1
"Jonathan Davies","Carlie Martin",Nurse,"2020-07-27 02:13:13",556,Incoming,5
"Jonathan Davies","Hannah Kelly",Nurse,"2020-08-18 02:11:57",873,Outgoing,65
"Jonathan Davies","Karen Chapman",Nurse,"2020-08-01 04:35:27",189,Outgoing,27
"Jonathan Davies","Amelia Lee",Nurse,"2020-08-02 03:04:05",908,Outgoing,56
"Jonathan Davies","Yvonne Knight",Nurse,"2020-07-07 01:47:59",155,Outgoing,83
"Jonathan Davies","Matthew Johnson",Nurse,"2020-07-13 03:36:39",296,Outgoing,29
"Jonathan Davies","Summer Marshall",Carer,"2020-08-07 02:09:03",218,Incoming,11
"Jonathan Davies","Grant Morgan",Carer,"2020-07-31 07:44:48",244,Outgoing,69
"Jonathan Davies","Kevin Allen",Nurse,"2020-07-20 05:08:21",773,Outgoing,0
"Jonathan Davies","Stephen Wood",Nurse,"2020-08-13 06:11:58",214,Incoming,100
"Jonathan Davies","Paula Price",Carer,"2020-07-20 08:29:18",909,Outgoing,2
"Jonathan Davies","Dylan Green",Nurse,"2020-07-18 12:48:16",795,Incoming,72
"Jonathan Davies","Steve Adams",Nurse,"2020-08-20 04:16:11",633,Outgoing,6
"Jonathan Davies","Colin Hunter",Carer,"2020-08-17 09:03:14",593,Outgoing,18
"Jonathan Davies","Carmen Graham",Nurse,"2020-07-03 10:50:37",686,Outgoing,92
"Jonathan Davies","Leah Price",Carer,"2020-08-02 06:56:25",611,Outgoing,93
"Jonathan Davies","Ella Taylor",Nurse,"2020-06-25 05:31:38",718,Outgoing,94
"Jonathan Davies","Kelly Harris",Carer,"2020-08-05 10:23:46",290,Incoming,55
"Jonathan Davies","Andrew Walker",Carer,"2020-06-30 03:02:08",286,Outgoing,16
"Jonathan Davies","Natalie Hall",Nurse,"2020-06-29 03:11:40",231,Outgoing,77
"Jonathan Davies","Natalie Hall",Nurse,"2020-07-08 07:51:39",955,Incoming,73
"Jonathan Davies","Matthew Johnson",Nurse,"2020-07-05 07:18:53",645,Incoming,61
"Jonathan Davies","Sarah Lewis",Carer,"2020-08-20 07:11:03",556,Outgoing,4
"Jonathan Davies","Steve Adams",Nurse,"2020-07-13 04:03:07",460,Outgoing,7
"Jonathan Davies","Carlie Martin",Nurse,"2020-07-29 10:03:13",321,Incoming,35
"Jonathan Davies","Faye King",Carer,"2020-07-25 03:12:20",227,Incoming,65
"Jonathan Davies","Steve Adams",Nurse,"2020-07-20 04:11:42",408,Incoming,31
"Jonathan Davies","Kevin Allen",Nurse,"2020-07-01 02:34:45",638,Outgoing,8
"Jonathan Davies","John Hall",Carer,"2020-07-16 04:48:40",420,Incoming,14
"Jonathan Davies","Karen Chapman",Nurse,"2020-07-14 04:03:36",734,Outgoing,46
"Jonathan Davies","John Hall",Carer,"2020-08-15 03:41:24",912,Incoming,7
"Jonathan Davies","Rebecca Wood",Carer,"2020-08-05 11:46:41",716,Outgoing,3
"Jonathan Davies","Lindsay Shaw",Nurse,"2020-08-21 01:32:56",735,Incoming,97
"Jonathan Davies","Sarah Lewis",Carer,"2020-07-08 06:40:00",764,Incoming,60
"Jonathan Davies","Stephen Wood",Nurse,"2020-06-27 09:35:49",677,Outgoing,2
"Jonathan Davies","Paul Fox",Nurse,"2020-07-27 08:35:01",114,Incoming,89
"Jonathan Davies","Yvonne Edwards",Nurse,"2020-06-27 11:05:06",157,Incoming,42
"Jonathan Davies","Claire Cook",Nurse,"2020-07-11 10:12:54",195,Outgoing,100
"Jonathan Davies","Steve Rose",Nurse,"2020-07-15 12:33:20",675,Outgoing,6
"Jonathan Davies","Tim Brown",Carer,"2020-07-01 12:22:11",313,Incoming,78
"Jonathan Davies","Colin Hunter",Carer,"2020-07-02 03:08:12",831,Outgoing,50
"Jonathan Davies","Colin Hunter",Carer,"2020-06-26 11:53:21",721,Incoming,19
"Jonathan Davies","Amy Taylor",Carer,"2020-08-02 12:20:28",256,Outgoing,9
"Jonathan Davies","Joel Simpson",Nurse,"2020-07-04 09:49:14",163,Incoming,8
"Jonathan Davies","Stephen Hughes",Carer,"2020-08-10 04:30:52",957,Outgoing,40
"Jonathan Davies","Joel Simpson",Nurse,"2020-07-24 08:21:23",709,Incoming,29
"Jonathan Davies","Joel Simpson",Nurse,"2020-08-11 12:06:27",524,Incoming,5
"Jonathan Davies","Laura Richardson",Nurse,"2020-08-18 03:49:05",727,Incoming,82
"Jonathan Davies","Lindsay Shaw",Nurse,"2020-07-12 03:10:32",677,Outgoing,37
"Jonathan Davies","Paul Bell",Nurse,"2020-07-16 03:43:44",679,Incoming,29
"Jonathan Davies","Paula Price",Carer,"2020-07-29 11:04:15",425,Incoming,21
"Jonathan Davies","Leanne Cox",Carer,"2020-07-01 03:16:56",747,Outgoing,67
"Jonathan Davies","Samantha James",Carer,"2020-06-26 11:23:48",666,Incoming,73
"Jonathan Davies","Rebecca Wood",Carer,"2020-08-08 12:48:40",553,Incoming,93
"Jonathan Davies","Carmen Hughes",Nurse,"2020-07-23 03:59:23",148,Outgoing,52
"Jonathan Davies","Yvonne Knight",Nurse,"2020-08-16 01:06:29",941,Incoming,4
"Jonathan Davies","Keeley Cooper",Carer,"2020-06-24 01:33:26",449,Incoming,77
"Jonathan Davies","Stephen Hughes",Carer,"2020-07-21 06:05:39",541,Outgoing,92
"Jonathan Davies","Jonathan Richards",Nurse,"2020-07-18 10:09:19",440,Outgoing,2
"Jonathan Davies","Keeley Cooper",Carer,"2020-07-24 03:18:40",989,Incoming,84
"Jonathan Davies","Nicole Allen",Carer,"2020-07-13 05:31:11",698,Outgoing,0
"Jonathan Davies","Melissa Moore",Nurse,"2020-08-02 12:48:49",757,Outgoing,26
"Jonathan Davies","Leah Price",Carer,"2020-08-11 12:20:39",560,Outgoing,46
"Jonathan Davies","Carmen Graham",Nurse,"2020-07-25 01:30:03",501,Incoming,72
"Jonathan Davies","Lily Anderson",Carer,"2020-08-10 09:29:34",850,Outgoing,94
"Jonathan Davies","Emily Moore",Nurse,"2020-08-12 08:29:21",885,Incoming,47
"Jonathan Davies","Sally Lee",Nurse,"2020-08-08 01:21:05",513,Outgoing,77
"Jonathan Davies","Joel Simpson",Nurse,"2020-07-21 12:47:36",338,Incoming,3
"Jonathan Davies","Stephen Wood",Nurse,"2020-08-22 11:24:21",772,Incoming,92
"Jonathan Davies","Carlie Martin",Nurse,"2020-07-13 11:03:12",308,Outgoing,90
"Jonathan Davies","Natalie Hall",Nurse,"2020-07-14 08:55:06",671,Outgoing,85
"Jonathan Davies","Ross Hunter",Nurse,"2020-08-15 01:33:20",979,Incoming,60
"Jonathan Davies","Sally Lee",Nurse,"2020-07-22 01:06:23",429,Incoming,78
"Jonathan Davies","Wendy King",Carer,"2020-08-10 02:54:29",799,Outgoing,53
"Jonathan Davies","Luke Holmes",Nurse,"2020-07-09 01:10:52",904,Incoming,13
"Jonathan Davies","Amelia Lee",Nurse,"2020-08-18 01:30:54",847,Outgoing,56
"Jonathan Davies","Cameron Williams",Nurse,"2020-07-01 03:14:05",103,Incoming,62
"Jonathan Davies","Ryan Murphy",Carer,"2020-08-12 08:41:04",185,Incoming,28
"Jonathan Davies","Beth Reid",Carer,"2020-07-31 07:02:36",866,Outgoing,53
"Jonathan Davies","Yvonne Edwards",Nurse,"2020-07-08 10:33:08",124,Incoming,54
"Jonathan Davies","Rebecca Wood",Carer,"2020-07-09 02:01:20",415,Incoming,10
"Jonathan Davies","Cameron Williams",Nurse,"2020-07-22 01:57:41",776,Incoming,2
"Jonathan Davies","Lucas Harris",Carer,"2020-08-23 07:06:07",273,Outgoing,35
"Jonathan Davies","Matthew Johnson",Nurse,"2020-07-08 04:19:32",282,Outgoing,96
"Jonathan Davies","Sarah Lewis",Carer,"2020-08-21 05:45:12",784,Outgoing,22
"Jonathan Davies","Joseph Clark",Carer,"2020-07-24 05:53:46",608,Incoming,79
"Jonathan Davies","Elizabeth King",Nurse,"2020-08-22 11:30:23",787,Outgoing,85
"Jonathan Davies","Kevin Allen",Nurse,"2020-07-12 10:11:06",432,Incoming,71
"Jonathan Davies","Zach Hunt",Carer,"2020-08-02 02:39:30",547,Incoming,28
"Jonathan Davies","Eleanor Knight",Carer,"2020-08-12 10:40:17",508,Incoming,23
"Jonathan Davies","Stefan Lewis",Carer,"2020-06-28 07:25:15",495,Outgoing,21
"Jonathan Davies","Claire Cook",Nurse,"2020-08-14 05:46:13",597,Outgoing,23
"Jonathan Davies","Tim Brown",Carer,"2020-06-26 07:37:11",848,Incoming,73
"Jonathan Davies","Paula Price",Carer,"2020-08-09 09:47:53",277,Outgoing,39
"Jonathan Davies","Samuel Gray",Nurse,"2020-07-21 06:56:06",422,Outgoing,27
"Jonathan Davies","Steve Adams",Nurse,"2020-08-17 06:46:25",693,Incoming,46
"Jonathan Davies","Carole Kelly",Carer,"2020-07-30 11:47:57",931,Incoming,34
"Jonathan Davies","Henry Jackson",Nurse,"2020-08-07 11:26:55",591,Outgoing,57
"Jonathan Davies","Stephen Hughes",Carer,"2020-07-31 12:46:48",791,Outgoing,77
"Jonathan Davies","Stephen Wood",Nurse,"2020-08-21 08:39:21",959,Incoming,48
